product_id,product_name,category,sub_category,supplier_id,cost_price,selling_price,product_status,launch_date
1,Travel Organiser,Lifestyle,Travel,93,28.26,56.52,Active,2024-09-25
2,Hiking Equipment,Lifestyle,Outdoor,174,13.26,26.52,Active,2021-08-30
3,Slim Fit Denim Jacket,Fashion,Clothing,66,65.59,145.76,Active,2022-11-30
4,Decorative Lamp,Home,Decor,81,123.32,224.22,Active,2022-08-27
5,Vitamin C Serum,Beauty,Skincare,224,22.86,65.31,Active,2025-03-21
6,Premium Leather Boots,Fashion,Footwear,17,51.79,115.09,Active,2024-12-02
7,Foundation Set,Beauty,Cosmetics,23,37.3,106.57,Discontinued,2025-12-31
8,Premium Leather Boots,Fashion,Footwear,204,42.25,93.89,Discontinued,2021-12-21
9,Hair Repair Treatment,Beauty,Haircare,225,6.27,17.91,Active,2023-08-25
10,Travel Backpack,Lifestyle,Travel,37,41.11,82.22,Active,2021-09-08
11,Fitness Training Mat,Lifestyle,Fitness,126,38.75,77.5,Active,2022-08-19
12,Hiking Equipment,Lifestyle,Outdoor,31,62.87,125.74,Active,2024-01-24
13,Wooden Storage Cabinet,Home,Furniture,160,107.27,195.04,Discontinued,2021-09-02
14,Premium Leather Boots,Fashion,Footwear,66,100.4,223.11,Active,2022-07-14
15,Wooden Storage Cabinet,Home,Furniture,187,221.56,402.84,Active,2024-10-14
16,Formal Leather Shoes,Fashion,Footwear,228,60.47,134.38,Active,2024-04-06
17,Classic Belt,Fashion,Accessories,210,57.13,126.96,Discontinued,2022-08-22
18,Wooden Storage Cabinet,Home,Furniture,177,133.51,242.75,Active,2024-06-25
19,Natural Face Cleanser,Beauty,Skincare,57,40.23,114.94,Active,2025-08-02
20,Kitchen Knife Set,Home,Kitchen,192,249.11,452.93,Discontinued,2021-07-27
21,Leather Wallet,Fashion,Accessories,244,89.28,198.4,Discontinued,2025-07-26
22,Outdoor Water Bottle,Lifestyle,Outdoor,49,32.88,65.76,Active,2025-01-10
23,Wall Art Frame,Home,Decor,177,195.25,355.0,Discontinued,2023-03-29
24,Household Organiser,Consumer Goods,General,189,81.07,124.72,Active,2022-04-25
25,Premium Knit Sweater,Fashion,Clothing,199,111.03,246.73,Discontinued,2026-04-28
26,Classic Cotton Shirt,Fashion,Clothing,120,106.66,237.02,Active,2023-03-22
27,Premium Knit Sweater,Fashion,Clothing,17,19.42,43.16,Active,2022-01-01
28,Luxury Beauty Kit,Beauty,Cosmetics,51,34.01,97.17,Discontinued,2022-01-08
29,Designer Sunglasses,Fashion,Accessories,61,112.18,249.29,Active,2025-10-10
30,Workout Equipment,Lifestyle,Fitness,211,40.47,80.94,Discontinued,2024-07-22
31,Wooden Storage Cabinet,Home,Furniture,20,97.76,177.75,Discontinued,2025-07-28
32,Ceramic Vase,Home,Decor,2,36.33,66.05,Active,2025-03-09
33,Heritage Wool Coat,Fashion,Clothing,14,66.56,147.91,Active,2024-03-21
34,Travel Organiser,Lifestyle,Travel,71,73.72,147.44,Discontinued,2026-05-27
35,Bedroom Side Table,Home,Furniture,237,113.62,206.58,Active,2023-06-07
36,Casual Canvas Shoes,Fashion,Footwear,147,55.22,122.71,Active,2024-04-19
37,Camping Chair,Lifestyle,Outdoor,21,43.25,86.5,Active,2025-09-07
38,Vitamin C Serum,Beauty,Skincare,62,11.94,34.11,Active,2024-08-18
39,Heritage Wool Coat,Fashion,Clothing,175,37.48,83.29,Active,2025-11-05
40,Cotton Cushion Set,Home,Decor,18,169.99,309.07,Discontinued,2024-06-04
41,Vitamin C Serum,Beauty,Skincare,57,22.1,63.14,Active,2025-01-22
42,Premium Leather Boots,Fashion,Footwear,52,51.69,114.87,Active,2021-10-07
43,Casual Canvas Shoes,Fashion,Footwear,147,86.63,192.51,Discontinued,2022-09-05
44,Fitness Training Mat,Lifestyle,Fitness,82,33.19,66.38,Active,2022-12-26
45,Cotton Cushion Set,Home,Decor,226,92.13,167.51,Active,2021-12-08
46,Ceramic Vase,Home,Decor,18,240.98,438.15,Active,2022-09-14
47,Natural Face Cleanser,Beauty,Skincare,29,34.73,99.23,Active,2022-01-16
48,Ceramic Vase,Home,Decor,188,156.74,284.98,Discontinued,2022-12-05
49,Classic Belt,Fashion,Accessories,76,32.47,72.16,Active,2024-09-18
